Ind#;Desired DVs;Actual DVs;Perf. Metrics
1635;0.306,1.404,0.643,0.571,0.265,0.788,0.477,1.355,0.435,0.518,0.614,1.027,0.598,1.222,0.713,1.027,0.388,0.927,0.627,1.229,0.627,1.245,0.408,1.577,0.415,0.551,0.404,1.536,0.501,1.305;0.200,1.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500;565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
1636;0.293,0.530,0.498,0.906,0.476,1.115,0.374,1.272,0.295,0.814,0.368,1.339,0.354,1.612,0.669,1.370,0.521,1.243,0.334,0.819,0.361,0.833,0.394,0.601,0.514,0.367,0.432,1.277,0.320,0.456;0.200,0.500,0.600,0.500,0.600,1.500,0.200,1.500,0.200,0.500,0.200,1.500,0.200,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.200,0.500,0.200,0.500,0.600,0.500,0.600,1.500,0.200,0.500;518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
1637;0.251,0.864,0.293,0.399,0.341,0.864,0.721,1.157,0.390,1.050,0.453,1.234,0.472,0.800,0.594,1.290,0.378,1.469,0.375,0.816,0.281,0.667,0.678,0.854,0.355,0.953,0.495,1.294,0.258,1.099;0.200,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.200,0.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,1.500;518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533
1638;0.403,1.036,0.443,0.841,0.530,0.494,0.537,1.036,0.263,1.184,0.309,1.401,0.390,0.827,0.361,1.133,0.361,1.465,0.455,0.559,0.563,0.537,0.750,0.786,0.503,1.082,0.212,0.912,0.554,0.958;0.600,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.200,1.500,0.200,1.500,0.200,0.500,0.200,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116
1639;0.498,1.100,0.293,0.688,0.398,0.997,0.331,0.380,0.445,1.086,0.504,1.085,0.334,1.291,0.607,0.308,0.663,0.484,0.259,1.635,0.259,0.815,0.455,0.939,0.429,1.122,0.242,0.922,0.439,1.743;0.600,1.500,0.200,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.200,0.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002
1640;0.433,1.849,0.138,1.313,0.526,0.509,0.456,0.794,0.444,0.520,0.351,1.922,0.507,0.991,0.455,0.608,0.187,1.132,0.760,0.987,0.392,0.188,0.521,1.482,0.383,1.571,0.588,1.411,0.296,0.230;0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
1641;0.273,1.550,0.379,1.004,0.438,1.345,0.608,1.508,0.293,1.025,0.684,1.004,0.654,1.084,0.420,0.592,0.536,1.337,0.551,1.464,0.590,1.099,0.427,1.247,0.763,1.041,0.426,1.167,0.387,1.074;0.200,1.500,0.200,1.500,0.600,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,1.500;565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533
1642;0.469,0.789,0.318,0.707,0.432,1.317,0.509,0.576,0.308,1.438,0.497,1.467,0.436,0.911,0.640,1.247,0.471,1.602,0.435,1.023,0.251,0.802,0.454,0.811,0.323,1.411,0.431,0.918,0.245,0.839;0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.600,0.500,0.200,1.500,0.600,0.500,0.200,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646
1643;0.540,0.861,0.279,0.297,0.397,1.558,0.381,0.601,0.345,0.659,0.533,1.464,0.540,1.134,0.432,1.492,0.269,0.777,0.494,0.580,0.595,0.501,0.515,1.218,0.342,1.743,0.405,0.668,0.403,0.733;0.600,0.500,0.200,0.500,0.200,1.500,0.200,0.500,0.200,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116
1644;0.365,1.379,0.392,1.029,0.399,1.217,0.564,1.412,0.390,0.726,0.408,1.197,0.468,0.775,0.533,0.208,0.427,0.784,0.536,1.337,0.405,1.059,0.494,1.015,0.384,0.863,0.358,1.022,0.341,0.971;0.200,1.500,0.200,1.500,0.200,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.200,1.500,0.200,0.500;565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646
1645;0.470,0.820,0.652,0.835,0.337,0.899,0.386,1.044,0.533,0.959,0.646,1.408,0.301,0.868,0.710,0.955,0.522,0.595,0.539,1.362,0.392,0.368,0.423,0.921,0.521,1.667,0.403,0.890,0.437,1.538;0.600,0.500,0.600,0.500,0.200,0.500,0.200,1.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002
1646;0.262,1.417,0.230,1.200,0.282,1.097,0.632,1.186,0.430,0.748,0.520,1.420,0.573,0.824,0.503,1.014,0.254,1.017,0.454,0.578,0.598,0.727,0.553,0.802,0.312,1.301,0.734,1.373,0.293,1.283;0.200,1.500,0.200,1.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,1.500,0.200,1.500;565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533
1647;0.337,0.463,0.218,0.826,0.348,0.884,0.310,1.002,0.526,1.261,0.496,1.337,0.409,0.858,0.543,1.138,0.361,0.553,0.504,0.486,0.373,0.793,0.544,1.097,0.378,1.330,0.310,1.566,0.223,0.819;0.200,0.500,0.200,0.500,0.200,0.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,1.500,0.200,1.500,0.200,0.500;518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646
1648;0.456,0.867,0.351,1.135,0.310,1.186,0.360,1.243,0.277,0.780,0.286,1.051,0.469,1.608,0.544,1.446,0.333,1.562,0.441,0.784,0.271,0.769,0.627,1.256,0.477,0.541,0.604,1.473,0.270,0.507;0.600,0.500,0.200,1.500,0.200,1.500,0.200,1.500,0.200,0.500,0.200,1.500,0.600,1.500,0.600,1.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
1649;0.244,1.136,0.342,1.135,0.570,0.902,0.370,1.317,0.346,0.873,0.510,1.288,0.499,1.353,0.514,0.699,0.390,0.953,0.521,0.593,0.323,1.018,0.534,0.865,0.425,0.871,0.491,0.901,0.312,1.302;0.200,1.500,0.200,1.500,0.600,0.500,0.200,1.500,0.200,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.200,1.500;565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533
1650;0.418,0.981,0.465,0.614,0.625,1.246,0.519,0.846,0.307,0.885,0.638,1.039,0.650,0.940,0.517,0.975,0.397,0.707,0.406,0.516,0.325,0.586,0.574,0.578,0.358,1.303,0.573,1.046,0.274,0.842;0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,1.500,0.600,1.500,0.200,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
1651;0.501,1.150,0.302,0.542,0.330,1.158,0.347,0.339,0.409,0.953,0.275,1.763,0.304,1.242,0.621,0.634,0.370,1.136,0.559,1.319,0.251,1.018,0.403,1.072,0.342,0.868,0.348,0.923,0.212,1.267;0.600,1.500,0.200,0.500,0.200,1.500,0.200,0.500,0.600,0.500,0.200,1.500,0.200,1.500,0.600,0.500,0.200,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,0.500,0.200,0.500,0.200,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533
1652;0.660,1.264,0.517,1.449,0.521,1.457,0.573,1.315,0.650,1.391,0.757,0.698,0.380,0.705,0.540,0.937,0.578,1.092,0.238,1.417,0.534,0.890,0.456,1.115,0.554,0.829,0.380,1.175,0.374,1.175;0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.200,1.500,0.200,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533
1653;0.480,1.363,0.313,1.000,0.405,1.213,0.644,1.249,0.533,1.166,0.608,1.147,0.591,1.062,0.451,0.231,0.572,1.200,0.445,1.641,0.539,1.056,0.424,0.629,0.661,0.494,0.333,1.356,0.511,1.503;0.600,1.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002
1654;0.223,0.480,0.293,1.327,0.399,0.739,0.297,1.323,0.466,0.685,0.515,1.514,0.457,1.304,0.636,1.294,0.439,1.305,0.536,0.243,0.451,1.021,0.717,1.109,0.727,1.263,0.502,1.414,0.630,1.162;0.200,0.500,0.200,1.500,0.200,0.500,0.200,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500;518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
1655;0.271,0.876,0.323,0.644,0.565,1.038,0.473,1.109,0.403,0.728,0.472,1.274,0.401,1.422,0.654,1.009,0.315,1.564,0.471,0.869,0.272,0.859,0.561,0.828,0.550,0.892,0.565,1.422,0.477,1.233;0.200,0.500,0.200,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,1.500;518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
1656;0.544,1.165,0.587,0.699,0.564,1.036,0.406,0.997,0.683,1.207,0.474,1.051,0.340,0.752,0.606,1.369,0.371,0.726,0.424,0.809,0.259,0.966,0.505,0.696,0.538,1.124,0.351,0.974,0.314,0.906;0.600,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,1.500,0.200,0.500,0.200,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646
